Date,Price,Open,High,Low,Vol.,Change %
11/01/2021,1773.6,1787.5,1869.7,1761.8,,
12/01/2021,1827.5,1774.8,1827.8,1753.9,,
01/01/2022,1795.0,1830.1,1852.7,1778.8,,
02/01/2022,1899.4,1797.2,1972.5,1787.9,,
03/01/2022,1949.2,1908.3,2072.0,1893.5,,
04/01/2022,1909.3,1935.0,1997.1,1872.9,,
06/01/2022,1804.1,1831.0,1875.6,1801.0,,
07/01/2022,1762.9,1795.5,1806.1,1679.8,,
08/01/2022,1712.8,1763.9,1804.9,1708.5,,
09/01/2022,1662.4,1707.9,1728.1,1620.4,,
10/01/2022,1635.9,1667.2,1728.0,1622.8,,
11/01/2022,1746.0,1630.8,1778.9,1615.1,,
12/01/2022,1819.7,1768.7,1826.3,1764.3,,
02/01/2023,1828.9,1927.2,1959.1,1808.1,,
03/01/2023,1969.0,1827.1,2003.9,1811.5,,
04/01/2023,1990.1,1968.1,2048.6,1950.0,,
05/01/2023,1963.9,1980.1,2072.0,1931.0,,
06/01/2023,1921.1,1963.2,1983.0,1892.5,,
07/01/2023,1970.5,1917.9,1978.4,1903.2,,
08/01/2023,1938.2,1964.9,1965.4,1884.0,,
09/01/2023,1848.1,1950.0,1950.0,1846.0,,
11/01/2023,2038.1,1990.5,2052.1,1932.6,,
12/01/2023,2062.4,2038.3,2130.2,1975.0,,
01/01/2024,2048.4,2063.5,2073.7,2002.6,,
02/01/2024,2045.7,2040.2,2064.5,1984.8,,
03/01/2024,2217.4,2043.1,2234.1,2041.8,,
04/01/2024,2291.4,2235.7,2429.0,2230.0,,
05/01/2024,2322.9,2287.7,2435.8,2277.6,,
06/01/2024,2327.7,2322.6,2385.1,2285.4,,
07/01/2024,2426.5,2323.8,2473.1,2321.7,,
08/01/2024,2493.8,2446.7,2527.3,2367.4,,
10/01/2024,2738.3,2631.4,2789.0,2602.5,,
11/01/2024,2657.0,2745.5,2756.0,2554.2,,
01/01/2025,2812.5,2633.0,2838.0,2617.3,,
02/01/2025,2836.8,2818.2,2957.9,2780.9,,
03/01/2025,3122.8,2872.7,3132.5,2863.4,,
04/01/2025,3305.0,3129.7,3485.6,2949.7,,
05/01/2025,3288.9,3272.9,3430.9,3125.0,,
07/01/2025,3293.2,3310.1,3441.0,3263.9,,
08/01/2025,3473.7,3286.2,3477.0,3281.0,,
09/01/2025,3840.8,3485.7,3865.5,3485.7,,
10/01/2025,3982.2,3863.5,4358.0,3823.7,,
11/01/2025,4218.3,3976.2,4228.7,3927.4,,
12/01/2025,4325.6,4218.5,4556.3,4167.0,,
01/01/2026,4514.6,4350.6,4527.0,4314.4,,
